ticker,fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE,n_features,features
AAPL,rf,10,40,relu,1.0,0.0002988781554378317,0.0002988781554378317,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'spread_baa_10y']"
AAPL,rf,10,40,selu,0.0,0.003914183726745124,0.003914183726745124,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'spread_baa_10y']"
AAPL,rf,10,60,tanh,1.0,0.002210346393265228,0.002210346393265228,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'spread_baa_10y']"
AAPL,rf,10,60,relu,0.0,0.0028137733541442334,0.0028137733541442334,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'spread_baa_10y']"
AAPL,rf,10,60,selu,1.0,0.00229843661582696,0.00229843661582696,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'spread_baa_10y']"
AAPL,mi,3,10,tanh,0.0,0.005031160334336038,0.005031160334336038,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,10,relu,0.0,0.005043046804355855,0.005043046804355855,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,10,selu,0.0,0.0049287448862813665,0.0049287448862813665,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,20,tanh,0.0,0.00527195122486579,0.00527195122486579,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,20,relu,0.0,0.005681986710267539,0.005681986710267539,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,20,selu,1.0,0.0011637656942256047,0.0011637656942256047,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,40,tanh,1.0,0.00177058358604687,0.00177058358604687,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,40,relu,0.0,0.006255715875165935,0.006255715875165935,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,40,selu,0.0,0.004092121868605192,0.004092121868605192,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,60,tanh,1.0,0.000143001344265814,0.000143001344265814,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,60,relu,0.0,0.002893499848876546,0.002893499848876546,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,60,selu,1.0,0.0001259932534523056,0.0001259932534523056,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,5,10,tanh,0.0,0.005411717830436702,0.005411717830436702,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,10,relu,0.0,0.0035104025380932047,0.0035104025380932047,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,10,selu,0.0,0.0027925637339720755,0.0027925637339720755,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,20,tanh,0.0,0.005729744931893821,0.005729744931893821,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,20,relu,0.0,0.0029996285382438703,0.0029996285382438703,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,20,selu,0.0,0.0031839603550978257,0.0031839603550978257,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,40,tanh,0.0,0.0038695160990827038,0.0038695160990827038,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,40,relu,1.0,0.0019640384481973694,0.0019640384481973694,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,40,selu,1.0,0.0016463066211216404,0.0016463066211216404,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,60,tanh,0.0,0.003814961318137522,0.003814961318137522,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,60,relu,0.0,0.009761924645143027,0.009761924645143027,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,60,selu,1.0,0.0022080540300593032,0.0022080540300593032,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
