ticker,fs_method,top_k,n_past,activation,MAE,RMSE,MAPE,n_features,features
AAPL,rf,10,60,tanh,0.010897411903808467,0.015504708672915833,105.6140841369247,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'term_spread']"
AAPL,rf,10,60,relu,0.010759027290018743,0.015394646583301723,101.3946471407121,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'term_spread']"
AAPL,rf,10,60,selu,0.011180796966102457,0.015778759898089106,128.60370927489436,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'term_spread']"
AAPL,mi,3,10,tanh,0.010742292460429806,0.015114710959558892,142.5119411199373,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,10,relu,0.011043915141900907,0.015259059194059827,127.69179390304646,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,10,selu,0.010604356898220962,0.015055438739352705,152.02712102622567,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,20,tanh,0.011093200110597595,0.015467684029357161,112.2298350350461,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,20,relu,0.010923027760813836,0.015449275305940242,105.2770700784507,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,20,selu,0.01116537365652117,0.01560329845249186,153.6291397051154,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,40,tanh,0.010846911839227215,0.015216295689758672,108.40671814010447,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,40,relu,0.010610874016950702,0.015243899584958828,192.87021051171612,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,40,selu,0.010784278682974914,0.014979894408681844,122.16837808645357,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,60,tanh,0.010653142225814082,0.015106061854421204,132.1643497692102,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,60,relu,0.012046211538232612,0.016455558127146056,138.36698507649436,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,3,60,selu,0.011149957485055898,0.015534162582843103,115.83946235024779,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT']"
AAPL,mi,5,10,tanh,0.010704604411790532,0.015282006757100565,114.17854447731173,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,10,relu,0.01103747079538597,0.01593922494353188,142.65701601568927,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
