Date,Indice
21/4/2023,1961.14
23/4/2023,1961.14
24/4/2023,1953.26
25/4/2023,1912.72
26/4/2023,1936.17
27/4/2023,1978.19
28/4/2023,1994.16
30/4/2023,1994.16
1/5/2023,1995.85
2/5/2023,1980.09
3/5/2023,1968.26
4/5/2023,1963.68
5/5/2023,2002.73
7/5/2023,2002.69
8/5/2023,2010.81
9/5/2023,1996.13
10/5/2023,2020.24
11/5/2023,2020.37
12/5/2023,2016.01
14/5/2023,2015.95
15/5/2023,2029.58
16/5/2023,2039.27
17/5/2023,2061.60
18/5/2023,2101.76
19/5/2023,2100.95
21/5/2023,2100.97
22/5/2023,2111.79
23/5/2023,2083.43
24/5/2023,2069.25
25/5/2023,2133.03
26/5/2023,2185.51
28/5/2023,2185.57
29/5/2023,2185.88
30/5/2023,2196.50
31/5/2023,2177.30
1/6/2023,2204.47
2/6/2023,2221.78
4/6/2023,2221.77
5/6/2023,2217.07
6/6/2023,2217.17
7/6/2023,2181.51
8/6/2023,2196.73
9/6/2023,2208.46
11/6/2023,2208.43
12/6/2023,2246.68
13/6/2023,2268.58
14/6/2023,2286.66
15/6/2023,2313.71
16/6/2023,2299.71
18/6/2023,2299.66
19/6/2023,2295.13
20/6/2023,2284.99
21/6/2023,2250.91
22/6/2023,2269.04
23/6/2023,2247.70
25/6/2023,2247.67
26/6/2023,2221.25
27/6/2023,2256.80
28/6/2023,2262.31
29/6/2023,2259.26
30/6/2023,2290.21
2/7/2023,2290.24
3/7/2023,2290.76
4/7/2023,2293.23
5/7/2023,2285.69
6/7/2023,2268.94
7/7/2023,2260.59
9/7/2023,2260.59
10/7/2023,2259.76
11/7/2023,2274.45
12/7/2023,2306.56
13/7/2023,2352.57
14/7/2023,2356.39
16/7/2023,2356.35
17/7/2023,2375.30
18/7/2023,2390.96
19/7/2023,2384.19
20/7/2023,2332.95
21/7/2023,2320.19
23/7/2023,2320.22
24/7/2023,2322.96
25/7/2023,2349.65
26/7/2023,2339.11
27/7/2023,2344.61
28/7/2023,2380.16
30/7/2023,2380.18
31/7/2023,2383.85
1/8/2023,2383.93
2/8/2023,2319.41
3/8/2023,2309.46
4/8/2023,2288.11
